Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic function (product.metafields.shopify.cosmetic-function),File shape (product.metafields.shopify.file-shape),Material (product.metafields.shopify.material),Package type (product.metafields.shopify.package-type),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Included / United States,Price / United States,Compare At Price / United States,Status
body-fragrance-mist,Body Fragrance Mist,"",SPIRIT BEAUTY,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Body Mists,"","",true,size,4 oz,,,,,,,,"",56.69904625,shopify,10,deny,manual,14.00,,true,true,"",https://cdn.shopify.com/s/files/1/0880/8294/0204/files/image_03b2d3bd-1a7a-4073-8b71-e7be7c19be80.jpg?v=1723410501,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,1.50,true,,,true,,,true,,,active
peaceful-room-linen-spray,Peaceful Room & Linen Spray,"<p> </p>
<p>Fill your home with fumes you trust. Commercial room sprays contain a lot of hidden toxic chemicals that harm your lungs, irritate your skin and are overall not good for your body.</p>
<p><span class=""SS_gjA"">This calming blend of Lavender and Amber will calm your senses. Fill</span><span class=""SS_gjA""> any space in your house with this relaxing and soothing blend. Spray around your room in the air, on curtains, pillows, clothing; anywhere you want this lovely scent. You can use it as often as you want, without any harmful effects. </span></p>
<p> </p>
<!---->",SPIRIT BEAUTY,Home & Garden > Decor > Home Fragrances > Air Fresheners,Room Spray,"",true,Title,Default Title,,,,,,,,"",113.3980925,shopify,6,deny,manual,12.00,,true,true,"",https://cdn.shopify.com/s/files/1/0880/8294/0204/files/IMG_1979.jpg?v=1721163269,1,"",false,,,,,,,,,,,,,,,,black,,,,,,,lavender,,,,,,oz,,,true,,,true,,,true,,,active
serenity-body-yogurt,Serenity Luxury Body Yogurt,"<p><span style=""font-size: 1rem;"">Introducing our Luxury Body Yogurt - a luxurious lotion that nourishes your skin with a light and creamy texture that your will most definitely fall in love with! Indulge in a velvety smooth experience that absorbs quickly, leaving your skin feeling soft and hydrated all day long. Embrace the goodness of Body Yogurt for a truly refreshing and revitalizing skincare routine.</span><br></p>
<p><span>Top: Hibiscus </span><br><span>Mid: Pink Dragonfruit</span><br><span>Base:  Vanilla</span><br></p>
<p class=""p1""><span class=""s1"">HOW TO USE</span></p>
<p class=""p1""><span class=""s1"">Apply after showering and daily as needed. Massage in circular motions until fully absorbed. A little goes a very long way!</span></p>
<p class=""p1""> </p>
<p class=""p1""><span class=""s1"">Star Ingredients:</span></p>
<p class=""p1""><span class=""s1"">Shea Butter: </span></p>
<p class=""p1""><span class=""s1"">Shea butter is an excellent hydrating, antioxidant and anti-inflammatory ingredient for softening, nourishing and protecting the skin. It increases moisture retention in the skin, resulting in revitalized</span></p>
<p class=""p2""><span class=""s1""></span><br></p>
<p class=""p1""><span class=""s1"">Jojoba Oil:</span></p>
<p class=""p1""><span class=""s1"">Rich in monounsaturated fatty acids and easily absorbed, the composition of jojoba oil is structurally similar to natural oils in the skin (sebum), has excellent emollient properties to maintain hydration and smooth your skin.</span></p>
<p class=""p2""><span class=""s1""></span><br></p>
<p class=""p1""><span class=""s2"">MCT oil: (Coconut oil)</span></p>
<p class=""p1""><span class=""s2"">With its deep hydrating capabilities, anti-inflammatory properties, nutrient-enhancing effects, and antioxidant-rich composition, MCT oil is a star ingredient all on its own! </span></p>
<p class=""p2""><span class=""s1""></span><br></p>
<p class=""p1""><span class=""s1"">Panthenol:</span></p>
<p class=""p1""><span class=""s1""> Is a humectant meaning it holds and binds water, and these properties mean that it is ideal when it comes to keeping water in the skin. It also works as an emollient which means it can moisturize and soothe the skin, as well as help, protect it from environmental factors and skin stresses. </span></p>
<p class=""p1""><span class=""s1"">Glycerin:</span></p>
<p class=""p1""><span class=""s1"">While glycerin is a moisturizing ingredient on its own, it’s even better when paired with other hydration-preserving elements like fellow Panthenol and humectant emollients like plant oils</span><span class=""s2"">.</span></p>
<p class=""p1""><span class=""s1"">Hydrated skin is one of the most straightforward pathways to healthy skin. So with a super-hydrating ingredient like glycerin, you can expect the skin to drink in all that moisture and the visible benefits to go along with it. Glycerin will also help your skin become softer yet stronger by <a href=""https://www.cnn.com/cnn-underscored/beauty/best-skin-barrier-creams"">keeping your skin barrier moisturized</a> and protected from environmental irritants.</span></p>
<p class=""p2""><span class=""s1""><br></span><br></p>
<p><span>Ingredients:</span></p>
<p><span>Aqua (Water), Butyrospermum Parkii (Shea Butter), Glycerin, Cetyl Alcohol, Caprylic/Capric Triglyceride (MCT (Coconut) Oil), Simmondsia Chinensis Seed Oil (Jojoba Oil), Cetearyl/Sorbitan Olivate (Olive M), Stearic Acid, Benzyl Alcohol (and) Salicylic Acid (and) Glycerin (and) Sorbic Acid (Eco/Geogard ECT), Tocopheryl Acetate (VitaminE), Panthenol, Parfum (Fragrance Oil).</span></p>
<p class=""p2""><span class=""s1""></span><br></p>
<p class=""p1""><span class=""s1"">Always formulated without: </span></p>
<p class=""p1""><span class=""s1"">Parabens,<span class=""Apple-converted-space"">  </span>Petroleum, Sulphates, Phthalates.</span></p>
<p class=""p2""> </p>
<!---->",SPIRIT BEAUTY,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotions & Moisturizers,"","",true,Title,Default Title,,,,,,,,,212.6214234375,shopify,6,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/IMG_1953.jpg?v=1721149808,1,"",false,,,469,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,active
serenity-body-yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/IMG_1463_bf0de52a-19d2-4b75-b988-ede3f8087cff.jpg?v=1721149807,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grounded-body-yogurt,Grounded Body Yogurt,"<p><span style=""font-size: 1rem;"">Introducing our Luxury Body Yogurt - a luxurious lotion that nourishes your skin with a light and creamy texture that your will most definitely fall in love with! Indulge in a velvety smooth experience that absorbs quickly, leaving your skin feeling soft and hydrated all day long. Embrace the goodness of Body Yogurt for a truly refreshing and revitalizing skincare routine.</span><br></p>
<p> </p>
<p class=""p1""><span class=""s1"">HOW TO USE</span></p>
<p class=""p1""><span class=""s1"">Apply after showering and daily as needed. Massage in circular motions until fully absorbed. A little goes a very long way!</span></p>
<p class=""p1""> </p>
<p class=""p1""><span class=""s1"">Star Ingredients:</span></p>
<p class=""p1""><span class=""s1"">Shea Butter: </span></p>
<p class=""p1""><span class=""s1"">Shea butter is an excellent hydrating, antioxidant and anti-inflammatory ingredient for softening, nourishing and protecting the skin. It increases moisture retention in the skin, resulting in revitalized</span></p>
<p class=""p2""><span class=""s1""></span><br></p>
<p class=""p1""><span class=""s1"">Jojoba Oil:</span></p>
<p class=""p1""><span class=""s1"">Rich in monounsaturated fatty acids and easily absorbed, the composition of jojoba oil is structurally similar to natural oils in the skin (sebum), has excellent emollient properties to maintain hydration and smooth your skin.</span></p>
<p class=""p2""><span class=""s1""></span><br></p>
<p class=""p1""><span class=""s2"">MCT oil: (Coconut oil)</span></p>
<p class=""p1""><span class=""s2"">With its deep hydrating capabilities, anti-inflammatory properties, nutrient-enhancing effects, and antioxidant-rich composition, MCT oil is a star ingredient all on its own! </span></p>
<p class=""p2""><span class=""s1""></span><br></p>
<p class=""p1""><span class=""s1"">Panthenol:</span></p>
<p class=""p1""><span class=""s1""> Is a humectant meaning it holds and binds water, and these properties mean that it is ideal when it comes to keeping water in the skin. It also works as an emollient which means it can moisturize and soothe the skin, as well as help, protect it from environmental factors and skin stresses. </span></p>
<p class=""p1""><span class=""s1"">Glycerin:</span></p>
<p class=""p1""><span class=""s1"">While glycerin is a moisturizing ingredient on its own, it’s even better when paired with other hydration-preserving elements like fellow Panthenol and humectant emollients like plant oils</span><span class=""s2"">.</span></p>
<p class=""p1""><span class=""s1"">Hydrated skin is one of the most straightforward pathways to healthy skin. So with a super-hydrating ingredient like glycerin, you can expect the skin to drink in all that moisture and the visible benefits to go along with it. Glycerin will also help your skin become softer yet stronger by <a href=""https://www.cnn.com/cnn-underscored/beauty/best-skin-barrier-creams"">keeping your skin barrier moisturized</a> and protected from environmental irritants.</span></p>
<p class=""p2""><span class=""s1""><br></span><br></p>
<p><span>Ingredients:</span></p>
<p><span>Aqua (Water), Butyrospermum Parkii (Shea Butter), Glycerin, Cetyl Alcohol, Caprylic/Capric Triglyceride (MCT (Coconut) Oil), Simmondsia Chinensis Seed Oil (Jojoba Oil), Cetearyl/Sorbitan Olivate (Olive M), Stearic Acid, Benzyl Alcohol (and) Salicylic Acid (and) Glycerin (and) Sorbic Acid (Eco/Geogard ECT), Tocopheryl Acetate (VitaminE), Panthenol, Parfum (Fragrance Oil).</span></p>
<p class=""p2""><span class=""s1""></span><br></p>
<p class=""p1""><span class=""s1"">Always formulated without: </span></p>
<p class=""p1""><span class=""s1"">Parabens,<span class=""Apple-converted-space"">  </span>Petroleum, Sulphates, Phthalates.</span></p>
<p class=""p2""> </p>
<!---->",SPIRIT BEAUTY,Health & Beauty,"","",true,Title,Default Title,,,,,,,,,218.2913280625,shopify,6,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/IMG_1970.jpg?v=1721149180,1,"",false,,,469,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,active
grounded-body-yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/IMG_1463_a8f3fd77-94e8-440d-9fe6-2659d9ea9cff.jpg?v=1721149293,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apricot-face-polish,Apricot Face Polish,"<p><span style=""font-size: 1rem;"">Smooth away dirt and oil with our relaxing and invigorating face scrub. Our formulation features all-natural Apricot Shells and exceptionally skin-friendly ingredients to gently exfoliate the skin, leaving it soft and radiant without stripping away precious natural oils. With its creamy rich, velvet-like texture SPIRIT BEAUTY’S scrub has been designed to be extremely cleansing, smoothing</span>  <span style=""font-size: 1rem;"">and hydrating.</span></p>
<p class=""p1""><span class=""s1"">At the core of the apricot scrub’s charm lies its remarkable ability to exfoliate and eliminate dead skin cells. The finely ground apricot kernels, when massaged onto the skin, work as gentle exfoliants, sloughing away the dull and lifeless outer layer. This process not only reveals a fresh, radiant complexion but also encourages cell turnover, promoting healthier skin from within.</span></p>
<p class=""p1""><span class=""s1"">Regular exfoliation with natural apricot scrub helps unclog pores, preventing the accumulation of debris that can lead to breakouts and a lackluster appearance. By bidding farewell to dead skin cells, you pave the way for a smoother and more vibrant complexion.</span></p>
<p> </p>
<p class=""p2""><span class=""s1"">Directions: Lather vigorously with water in palm of hand until creamy and foamy. Work gently over wet face or body. Rinse with warm water. Do not get into eyes.</span></p>
<p class=""p2""> </p>
<p class=""p1""><span class=""s1"">Disclaimer:</span><span class=""s2""> This Natural Apricot Shells face scrub is intended for external use only, avoid contact with eyes. If irritation occurs, discontinue use immediately and consult your physician.</span></p>
<!---->",SPIRIT BEAUTY,Health & Beauty > Personal Care > Cosmetics > Skin Care,"","",true,Title,Default Title,,,,,,,,"",141.747615625,shopify,6,deny,manual,12.00,,true,true,"",https://cdn.shopify.com/s/files/1/0880/8294/0204/files/IMG_1977.jpg?v=1718419726,1,"",false,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,active
apricot-face-polish,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/IMG_2130.jpg?v=1718419735,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whisper-luxury-body-yogurt,Whisper Luxury Body Yogurt,"",SPIRIT BEAUTY,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotions & Moisturizers,"","",true,Title,Default Title,,,,,,,,"",212.6214234375,shopify,6,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0880/8294/0204/files/image.jpg?v=1723410403,1,"",false,,,2592,,,,,,,,,,,,adults,,jojoba-oil; coconut-oil,,,,jar,cream,,all-skin-types,,,,,oz,,,true,,,true,,,true,,,active
whisper-body-polish,Whisper Body Polish 10 oz,"<p class=""p1""><span class=""s1"">Treat your skin to a whipped creamy soap with sugar granules that will exfoliate, cleanse and moisturize all in one wonderful product.</span></p>
<p class=""p1""><span class=""s1"">.</span></p>
<p class=""p1""><span class=""s1""> </span><span style=""font-size: 1rem;"">Our formula is free of parabens, phthalates and sulfates. Made with only the best ingredients to nourish your skin while not harming you or the environment. <br></span></p>
<div class=""accordion__content rte"">
<div class=""metafield-rich_text_field"">
<p>Description: Immerse yourself in fresh tangerine,<span> crisp apple  and refreshing sea spray </span><span data-mce-fragment=""1"" class=""morecontent""><span data-mce-fragment=""1"">notes blended together to enhance and complete this fragrant accord. </span></span></p>
<p> </p>
<p data-mce-fragment=""1""> </p>
<p>Top- SWEET APPLE </p>
<p>Middle- FRESH TANGERINE </p>
<p>Bottom- SEA SPRAY </p>
<p> </p>
</div>
</div>
<!---->",SPIRIT BEAUTY,Health & Beauty > Personal Care > Cosmetics > Skin Care,Skincare,"",true,Title,Default Title,,,,,,,,,283.49523125,shopify,6,deny,manual,25.00,,true,true,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/IMG_1965.jpg?v=1718417584,1,"",false,,,2592,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,active
